Date,Year,Month,Day,Title,Tasks,Region mapped,City,Place,Partner,Whom is confirmed to go,Requesting NGO,Nb réel de participants,Nb prévu de participants?,"Stats contribution
Batiments","Stats contribution
Route",Landuse,Waterways,Forest,Cagnotte Boite à Dons,Sponsor nourriture?
03/04/2018,2018,4,3,Mapathon coop Grenoble,3679,Madagascar,Grenoble,La péniche ,,Colin,,13,19,1400 bâtiments,100 km de route,,,,,
29/03/2018,2018,3,29,Mapathon intergénérationelle Lycée Louise Michel ,3679,Madagascar,Grenoble,Lycée Louise Michel,,Colin,,35,,400 bâtiments,100 km de route,,,,,
26/03/2018,2018,3,26,Mapathon préparation avec les lycéens de Louise Michel ,3679,Madagascar,Grenoble ,Lycée Louise Michel,,Colin,,20,,329 bâtiments,87.9 km de route,,,,,
08/03/2018,2018,3,8,Mapathon Social Good Week Paris,3679,Madagascar,Paris,LLL,,Martin,PHF,30,50,564 bâtiments,192 km de route,0.36 km² de zone résidentiel,,,Oui (montant?),
07/03/2018,2018,3,7,Mapathon Social Good Week Lyon,3679,Madagascar,Lyon,Ecole Centrale,,"Colin, Camille ",,20,,1526 bâtiments,312.9 km de route,,,,,
28/02/2018,2018,2,28,Mapathon MAMAPA - Mannheim,4121,Ouganda ,Manheim,Mannheimer Abendakademie,HOT,Robert ,,17,,74 bâtiments,108.2 km de route,,15.5 km de waterways,,,
28/02/2018,2018,2,28,Mapathon @ Les Petits Débrouillards,3679,Madagascar,Clermont-Ferrand,Les Petits Débrouillards,,Colin,,15,8,1000 bpatiments,200 km de route,,,,,
14/02/2018,2018,2,14,Mapathon université de Saint Etienne ,3679,Madagascar,Saint Etienne ,Université Jean Monet ,,Colin,,20,20,1500 bâtiments,400 km de route,,,,,
07/02/2018,2018,2,7,Mapathon à Paris 8,3679,Madagascar,Paris,Université,,"Colin, Claire",,15,30 (Neige du coup pas de déplacement),9 bâtiments,123.7 km de route,,,,,
30/01/2018,2018,1,30,Mapathon Atelier des médias ,4101,Bangladesh,Lyon,Atelier des méias ,,"Violaine, Colin",,25,25,6400 bâtiments,,,,,,
26/01/2018,2018,1,26,Mapathon lycée Louise michel ,,Bangladesh,Grenoble,Louise Michel Lycée pro,,Colin,,22,22,300 bâtiments,le mapathon était plus une présentation de CartONG et le fonctionnement de missing maps et d'une action humanitaire (questions des éléves),,,,,
25/01/2018,2018,1,25,Mapathon @ ESS'pace,4030,Bangladesh,Paris,ESS'pace,,Bénévoles,,24,37,2800 bâtiments,,,,,,
23/01/2018,2018,5,23,Mapathon MAMAPA - Mannheim,4577,Burkina Faso,Manheim,Mannheimer Abendakademie,HCR,Robert ,HCR,16,,281 bâtiments,2.7 km² de routes,,,,,
17/01/2018,2018,1,17,Mapathon département savoie,,Haiti,Chambéry,Département de Savoie ,,Colin Violaine,,,,,,,,,,
16/01/2018,2018,1,16,Mapathon à l'université de Genève ,4030,Bangladesh,Genève,Université ,,Colin,,32,32,2792 bâtiments,,,,,,
18/12/2017,2017,12,18,Mapathon Entreprise CGI Paris/Lyon,3941,Tchad,"Paris, LYON",CGI,,"Martin, Colin",,20,,1500 bâtiments ,,,,"10 km² de parcelles dessinées 
(vergers/forêts)",,
15/12/2017,2017,12,15,Mapathon la cordée de la réussite,3946,Congo,Paris,Télécom,Cordée de la réussite ,Colin,,10,,500 bâtiments,,,,,,
13/12/2017,2017,12,13,Mapathon aux subsistances pour HI ,3941,Tchad,Lyon,Subsistances ,Handicap Internatinal,"Martin, Colin",,56,56,1455 bâtiments,,,,42 km² de forêts et vergers,,Handicap International 
19/11/2017,2017,11,19,Mapathon de cloture de l'OSMGeoweek à Villeurbanne @ CCO,"3720, 3831","Madagascar, Burkina Faso",Lyon,CCO,OSM Geoweek,"Violaine, Colin","OSM MADA, OSM Burkina Faso",40,40,3000 bâtiments ,150 KM de route,,,,,Région Rhone Alpes (Synergies)
16/11/2017,2017,11,16,Mapathon Paris ,3720,Madagascar,Paris,LLL,OSM Geoweek,Colin,OSM Mada,17,28,1325 bâtiments,,,,,33,Région Rhone Alpes (Synergies)
15/11/2017,2017,11,15,Mapathon Grenoble à la Péniche ,1075,Mali,Grenoble,La péniche,OSM Geoweek,Colin,OSM Mali,33,26,6083 bâtiments,,,,,,Région Rhone Alpes (Synergies)
14/11/2017,2017,11,14,Mapathon Saint Etienne à Open Factory,102 (francophone),Sénégal,Saint Etienne,OpenFactory,OSM Geoweek,Colin,OSM Sénégal ,19,18,3053 bâtiments,,,,,,Région Rhone Alpes (Synergies)
13/11/2017,2017,11,13,Mapathon d'ouverture à l'OSMGeoWeek Chambéry @ Le MUG,3831,Burkina Faso,Chambéry,Le Mug,OSM Geoweek,"Colin, Martin",OSM Burkina Faso,17,14,2643 batiments,75 km routes,3km² landuse,,,/,Région Rhone Alpes (Synergies)
26/10/2017,2017,10,26,Mapathon Paris @ Ess'pace,3730,Bangladesh,Paris,Ess'pace,Techfugees,Colin,,40,60,5723 batiments,,,,,,
24/10/2017,2017,10,24,Mapathon Lyon @ La Tour du Web,"3703, 3686",Madagascar,Lyon,La Tour du We,,"Violaine, Colin",,12,10,1273 batiments,,,,,,
19/10/2017,2017,10,19,Mapathon Brest @ UBO,3720,Madagascar,Brest,UBO OpenFactory,Tiriad ,"Violaine, Colin",OSM Mada,45,45,2751 batiments,,,,,,
28/09/2017,2017,9,28,Mapathon validation Lyon l'atelier des média s,3110,Madagascar,Lyon,L'atelier des médias,,"Violaine, Colin",,4,7,407 bâtiments ,10.9 km de route ,,,,,
21/09/2017,2017,9,21,Mapathon Missing Maps Paris @ Liberté Living Lab / urgence Mexique !,"3566, 3567, 3607, 3597",Mexico ,Paris,Liberté Living Lab ,,Colin,OSM MX,33,59,6728 bâtiments ,,,,,193,"cagnotte: 86,84 pour noutiture et boissons"
19/07/2017,2017,7,19,Mapathon FOSS4G @ Champs sur Marne,2608,Goma,Paris,ENSG,,Olivia,ICRC,35,29,3049 bâtiments ,50km de route,,,,,Carto (Jorge Sanz)
04/07/2017,2017,7,4,Mapathon Validation Lyon,2333 (contrib) + 3110 (valid),Vatomandry et Ouahigouya,Lyon,L'atelier des médias,,"Violaine, Olivia",PHF et chambé Ouahi,13,,validation,,,,,Apport des participants,Apport des participants
29/06/2017,2017,6,29,Mapathon Nantes @ ENSA,2608 et 2333 pour validation,Goma et Ouahigouya,Nantes,ENSA,,Olivia et Antoine,CICR et Chambéry Ouahigouya,24,20,2091 bâtiments pour Goma,12km de route pour Goma,,,> Validation pour Ouahigouya,,CartONG + apport des participants
28/06/2017,2017,6,28,Mapathon Brest @ UBO,2333,Ouahigouya,Brest,UBO,,Olivia et Yuji,Chambéry Ouahigouya,37,35, 250 bâtiments,739km de route,3.58km2 de zone résidentielle,,,,participants apportent + petit budget CartONG
15/06/2017,2017,6,15,Mapathon Toulouse @ HarryCow,2333,Ouahigouya,Toulouse,HarryCow,Magellium,Olivia et Nicolas Decoster,Chambéry Ouahigouya,25,20,142 bâtiments,635km de routes ,4.36km2 landuse residential,,,,Magellium
14/06/2017,2017,6,14,Mapathon Bordeaux @ Nomade,2333,Ouahigouya,Bordeaux et Périgueux,Nomade pour Bordeaux et l'Escale Numérique pour Périgueux,MSF Log et Num&Lib,Olivia et Paul pour Périgueux,Chambéry Ouahigouya,25,30,538 bâtiments ,740km de route,4.34km2 landuse residential,,,,MSF Log pour Bordeaux
07/06/2017,2017,6,7,Mapathon Chambéry le Mug,2333,Ouahigouya,Chambéry,Le Mug,,Martin,Chambéry Ouahigouya,14,7,cf. stats Paris le même soir,,,,,/,/
07/06/2017,2017,6,7,Mapathon Paris @ FPH,2333,Ouahigouya,Paris,FPH,,Olivia,Chambéry Ouahigouya,17,22,860 bâtiments,550 km de route,,,,,cagnotte (environ 50€ pour nourriture et boissons) 
31/05/2017,2017,5,31,Mapathon Avignon La Salle EducOSM,3110,"Vatomandry, Madagascar",Avignon,La Salle,PHF,Violaine et Olivia,Pompiers humanitaires français,60,3 classes de 20 élèves environ,4609 bâtiments ,70km de route,,,,,
17/05/2017,2017,5,17,Mapathon Le Mug 2 Aix les Bains,2333,Ouahigouya,Aix les Bains,Le Mug 2,,Olivia,Chambéry Ouahigouya,6,5,89 bâtiments ,91km route,,,,,
11/05/2017,2017,5,11,Mapathon Grenoble,2333,Ouahigouya,Grenoble,La Coop,,Olivia,Chambéry Ouahigouya,10,11,1582 bâtiments,40.3 km de route,20.55 km2 zone résidentielle,,,,Carto pour pizza et la coop pour bières
10/05/2017,2017,5,10,Mapathon Lyon,2333,Ouahigouya,Lyon,L'atelier des médias,,Violaine ,Chambéry Ouahigouya,6,,400 bâtiments,7.5km de route,,,,,
04/05/2017,2017,5,4,Mapathon Paris - Mai,2608,Goma,Paris,La Paillasse,MSF,Olivia,CICR & MSF,35,45,2764 bâtiments,,,,,235€,MSF pizza cagnotte boissons
