Date,Year,Month,Day,Title,Tasks,Requesting NGO (project),Region mapped,City,Place,Whom is confirmed to go,Mapathon Partner,Nb PREVU de participants,Nb REEL de participants,"Stats contribution
Batiments","Stats contribution
nombre de Routes","Stats contribution
Route (km)"
12/02/2019,2019,2,12,Mapathon Missing Maps à Paris @L'ESS'Pace,5654,Yaam Solidarité,Burkina Faso,Paris,L'Ess'Pace,"Jeanne, Camille + béné",Yaam,40,21,2300,"43,55",
12/02/2019,2019,2,12,Mapathon Missing Maps à Lyon @Le Tuba,5654,Yaam Solidarité,Burkina Faso,Lyon,Le Tuba,Manon,Yaam,20,16,0,0,
06/02/2019,2019,2,6,Mapathon Missing Maps @la Coop ,5654,Yaam Solidarité,Burkina Faso,Grenoble,La Péniche,"Manon, Camille ",Yaam,6,12,2172,"42,5",
30/01/2019,2019,1,30,Mapathon Missing Maps @le Mug,5654,Yaam Solidarité,Burkina Faso,Chambéry,Le Mug -> locaux CartONG,"Manon, Jeanne, Camille ",Yaam,9,5,987,"64,6",
23/01/2019,2019,1,23,Mapathon Missing Maps Saint Etienne @Université Jean Monnet,5654,Yaam Solidarité,Burkina Faso,Saint Etienne,Université Jean Monnet,Camille,Yaam,26,26,6611,"115,8",
22/01/2019,2019,1,22,Mapathon Missing Maps à Lyon @Le Tuba,5654,Yaam Solidarité,Burkina Faso,Lyon,Le Tuba,"Jeanne, Gagan",Yaam,20,20,1783,47.8,
10/01/2019,2019,1,10,"1er Mapathon Missing Maps de l'année 2019 à Paris @LaPaillasse
",5654,Yaam Solidarité,Burkina Faso,Paris,La Paillasse,Jeanne,Yaam,25,25,3156,"26,6",
19/12/2018,2018,12,19,Mapathon @l'ESS'Pace,5636,,RDC,Paris,ESS'pace,Camille,OSM RDC,15,9,2979,,
17/12/2018,2018,12,17,Mapthon CIA @Ivry-sur-Seine,5624,HCR,Algérie ,Paris,CHU Ivry-sur-Seine,Cécile + bénévoles ,HCR,9,25,,,
13/12/2018,2018,12,13,Mapathon @UBO Open Factory ,"3999, 4438, 4822, 4388, (5519)",,Madagascar,Brest,UBO Open Factory,Camille + Yuji ,OSM Mada,23,25,778,200,
13/12/2018,2018,12,13,Mapathon @INSA Lyon,5527,EcoSur,Equateur,Lyon,INSA,Jeanne + Manon,EcoSur,16,19,2051,"116,6",
12/12/2018,2018,12,12,Mapathon MAMAPA - Manheim,,,,Manheim,,Robert,,17,17,,,
05/12/2018,2018,12,5,Mapathon @Université Jean Moulin,5571,HCR,Algérie ,Lyon,Univ. Jean Moulin Lyon 3,Jeanne + Camille + Gagan,HCR,22,20,3804,0,
30/11/2018,2018,11,30,Mapathon @INSEEC,5571,HCR,Algérie ,Chambéry,INSEEC,Jeanne + Camille ,HCR,60,67,3555,"5,8",
29/11/2018,2018,11,29,Mapathon @LeMug - MSF,5290,MSF,Kenya,Chambéry,Le Mug,Jeanne + Camille + Manon,MSF Belgique,17,20,273,"901,3",
28/11/2018,2018,11,28,Mapathon Missing Maps @ Nomade ,5268,Rombo Conservancy,Kenya,Bordeaux,Espace Nomade ,Camille ,OSM Bordeaux,5,7,901,"201,3",
27/11/2018,2018,11,27,Mapathon Université - Masters SIGMA,5268,Rombo Conservancy,Kenya,Toulouse,Université SIGMA,Camille + Olivier,SIGMA,20,20,2231,163,
18/11/2018,2018,11,18,Mapathon Missing Maps - Karya (festival Thihar) ,5504,Karya,Népal,Thyez,Thyez (festival Tihar),Manon + Camille ,"Karya, KLL",,20,563,35,
15/11/2018,2018,11,15,Mapathon MAMAPA - Manheim,5446,HCR,Algérie,Manheim,,Robert,,30,30,,,
13/11/2018,2018,11,13,Mapathon Université - Masters géomatiques Cergy-Pontoise,5268,Rombo Conservancy ,Kenya ,Paris ,Univ. Cergy-Pontoise,Jeanne + Camille ,Rombo Conservancy ,50,25,2398,"286,4",
06/11/2018,2018,11,6,Mapathon Université - Masters ACAH ,5268,Rombo Conservancy ,Kenya ,Chambéry,Univ. jacob Bellecombette ,Jeanne + Camille ,Rombo Conservancy ,36,36,1989,"189,7",
18/10/2018,2018,10,18,Mapathon @ La Paillasse ,5268,Rombo Conservancy ,Kenya ,Paris,La Paillasse ,Camille et bénévoles ,Rombo Conservancy ,18,8,188 bâtiments,"129,7 km de routes",
03/10/2018,2018,10,3,Mapathon Université - IUGA,4388,,Madagascar ,Grenoble ,IUGA Grenoble ,"Manon, Camille ",PHF,50,40,1599 bâtiments ,"449,9 km de routes
",
02/10/2018,2018,10,2,Mapathon Université - Paris VII,4388,,Madagascar ,Paris ,Université Paris VII ,Martin + bénévoles parisiens,PHF,50,52,579 bâtiments ,"180,4 km de routes ",
27/09/2018,2018,9,7,Mapathon MAMAPA - Manheim,5446,HCR,Algérie,Manheim,,Robert,,30,30,,,
26/09/2018,2018,9,26,Mapathon EducAuRa - La Coop ,4388,PHF,Madagascar ,Grenoble ,La Péniche ,"Manon, Cécile, Mathilde, Camille ",EducAuRa,16,21,265 bâtiments ,"88,8 km de routes",
21/09/2018,2018,9,21,Mapathon Missing Maps - Le Tubā,5268,Rombo Conservancy ,Kenya ,Lyon ,Le Tubā,"Manon, Camille ",Rombo Conservancy ,11,10,1144 bâtiments,,
20/09/2018,2018,9,20,Mapathon ScPo Urba - Paris,4979,HCR,Algérie ,Paris,SciencesPo Ecole Urbaine,"Manon, Cécile, Camille ",SciencesPo Ecole Urbaine,58,25,3695,,
18/09/2018,2018,9,18,Mapathon CIA - Nanterre,4979,HCR,Algérie ,Paris,CHU Nanterre,"Manon, Cécile, Camille ",Aurore,,25,43,,
05/09/2018,2018,9,5,Mapthon Karya - Ambérieu,4285,Karya,Népal,Ambérieux-en-Bugey,,Camille + Sylvie et Pierre de Karya,Karya,,14,137 bâtiments,,
09/08/2018,2018,8,9,Mapathon CIA - Nanterre,4979,HCR,Algérie ,Paris,CHU Nanterre,Cécile + bénévoles ,BSF,,25,360,,
25/07/2018,2018,7,25,Mapathon HCR - Genève,4909,HCR,Soudan,Genève,HCR headquarters,"Manon, Maeve, Camille ",HCR,13,10,2279 bâtiments,,
12/07/2018,2018,7,12,Mapathon BSF - Ivry sur seine // Formation WASH - Ouganda,4857,HCR,Ouganda,Paris // Ouganda,CHU Ivry sur seine,"Cécile, Camille + bénévoles",BSF,,20,686 bâtiments,34.5 km de route,
11/07/2018,2018,7,11,Mapathon Science in the City - Toulouse ,4750,Hi,Madagascar,Toulouse,La mêlée ,Nicolas + bénévoles,Science in the City,14,9,527 bâtiments,161.3km de route,
05/07/2018,2018,7,5,Mapathon MAMAPA - Mannheim,"4750, 4822",Hi,Madagascar,Manheim,Mannheimer Abendakademie,Robert ,,,24,424 + 146 bâtiments,44.4  km de route,
28/06/2018,2018,6,24,Mapathon Terre des Hommes - Lausanne ,4805,Tdh ,Burkina Faso,Lausanne ,Siège de Tdh,"Maeve, Camille, Martin",Tdh,30,25,,,
18/06/2018,2018,6,18,Mapathon CCO Vileurbanne ,4768,,Bangladesh,Lyon ,CCO,"Colin, Camille, Cécile ",,14 + 5/6 SInga,14,1213 bâtiments,,
13/06/2018,2018,6,13,Mapathon coop Grenoble,4750,Hi,Madagascar,Grenoble,La péniche ,"Manon, Camille ",,13,8,284 bâtiments,,
09/06/2018,2018,6,9,Carto Party - Sport ensemble Handicap International ,,Hi,,Lyon ,Parc Gerland,"Colin, Camille ",,,20,,,
06/06/2018,2018,6,6,Mapathon la Pailliasse ,"4688, 4605",,Bangladesh ,Paris,La Paillaisse ,"Camille, colin + bénévole",,29,20,3623 bâtiments ,19.3 km de route,
04/06/2018,2018,6,4,Mapathon BSF - Ivry sur seine ,4651,,Bangladesh ,Ivry-sur-Seine,CHU Ivry sur seine,Cécile,,,20,345 bâtiments,,
23/05/2018,2018,5,23,Mapathon MAMAPA - Mannheim,4577,HCR,Burkina Faso,Manheim,Mannheimer Abendakademie,Robert ,HCR,,14,281 bâtiments,2.78 km de route,
03/05/2018,2018,5,3,Mapathon Lycée Argouge de Grenoble,,,,Grenoble,Lycée Argouge ,Colin ,,,,,,
18/04/2018,2018,4,18,Mapathon UBO Open Factory Brest,4438,,Madagascar,Brest,UBO Open Factory ,Colin ,,31,30,4583 batiments ,98 km de route,
12/04/2018,2018,5,12,Mapathon en soirée MSF ,4255,MSF,Kirkystan,Geneva,MSF,"Martin, Colin + GIS Unit ",,49,44,5741 bâtiments,167 km de route,
10/04/2018,2018,4,10,Mapathon MAMAPA - Mannheim,4371,,Ouganda ,Manheim,Mannheimer Abendakademie,Robert ,HOT - Uganda,,15,1799 bâtiments,6.5 km de routes,
10/04/2018,2018,4,11,Mapathon Geneva Health Forum - 10 au 12 avril en Français ,,,Cameroun,Geneva,CICG,Colin  Martin ,,12,9,400 bâtiments,,
06/04/2018,2018,4,6,Mapathon nuit de la Géo Paris,4388,,Madagascar,Paris,Voir avec Claire ,"Martin, Colin",,92,50,1648 bâtiments,263.3 km de route,
06/04/2018,2018,4,6,Mapathon la nuit de la Géo ,3679,,Madagascar,Lyon,,"Camille, Rene, bénévoles lyon ",,19,14,969 bâtiments,107.5 km de route,
05/04/2018,2018,4,5,Mapathon interne partenaire Solidarités Suricats,,,Bangladesh,Paris,,"Martin, Colin",,,32,1000 bâtiments,71.8 km de route,
03/04/2018,2018,4,3,Mapathon coop Grenoble,3679,,Madagascar,Grenoble,La péniche ,Colin,,19,13,1400 bâtiments,100 km de route,
29/03/2018,2018,3,29,Mapathon intergénérationelle Lycée Louise Michel ,3679,,Madagascar,Grenoble,Lycée Louise Michel,Colin,,,35,400 bâtiments,100 km de route,
26/03/2018,2018,3,26,Mapathon préparation avec les lycéens de Louise Michel ,3679,,Madagascar,Grenoble ,Lycée Louise Michel,Colin,,,20,329 bâtiments,87.9 km de route,
